company/name,title,company/name,location,job_clean
Datapower,Data Analytics & Machine Learning Consultant - Entry Level,Datapower,"Jakarta Barat, Jakarta Raya",we only hire the best join our elite consulting team english fluency is a must to work with global clients and experts datapower is a leading fintech consulting company specializing in personal digital lending credit risk modeling fraud detection and ai driven operational marketing we empower banks multi finance companies and other financial institutions in southeast asia and africa with innovative ai driven solutions as we expand our presence in indonesia we are looking for high potential consultants with strong capabilities in data analytics statistics and machine learning to join our expert team what you ll do work on data driven fintech consulting projects across credit risk fraud detection and marketing analytics build analyze and optimize machine learning models for client specific use cases extract insights from financial behavioral and alternative data sources e g slik app data transactions support client implementation and documentation of analytical models collaborate with data scientists business analysts and industry experts across project phases who we re looking for we are seeking top tier university graduates with outstanding academic performance gpa 3 5 4 0 majors computer science statistics mathematics data science financial engineering technical skills solid understanding of machine learning and statistical algorithms proficient in python and sql familiarity with model evaluation feature engineering and data visualization mindset analytical thinker proactive problem solver and collaborative team playerpreferred qualifications internship or work experience in data science or analytics roles exposure to financial services fintech or credit scoring projects experience with cloud platforms e g gcp aws is a plus if you re ready to accelerate your career work with global experts and create real impact for banks and fintechs across southeast asia and africa apply now and be part of our journey
Central Mega Kencana,Data Analyst,Central Mega Kencana,"Jakarta Timur, Jakarta Raya",pt central mega kencana is seeking a skilled and detail oriented data analyst to join our team at cmk studio east jakarta the ideal candidate has strong analytical skills and is experienced in transforming data into meaningful insights to support business decision making key responsibilities collect process and analyze large sets of data from various sources develop dashboards and visual reports using power bi and tableau provide data driven insights and recommendations to support business strategies collaborate with cross functional teams to understand data needs and reporting requirements ensure accuracy consistency and integrity of data across all reports requirements bachelor s degree s1 minimum preferably in statistics mathematics computer science information systems or related fields proven experience as a data analyst or similar analytical role strong proficiency in power bi and tableau mandatory solid understanding of data processing visualization and analytical methods strong attention to detail problem solving skills and the ability to communicate insights clearly can work immediately must have a clean bi checking record
Suzuki,Data Analyst,Suzuki,"Pulo Gadung, Jakarta Raya",job description prepare a customer satisfaction survey with the appropriate method ensuring the achievement of customer satisfaction scores above the targets set ensuring the quality of internal surveys and conducting analysis execute and evaluate action plans and campaigns to increase customer satisfaction requirements bachelor master s degree in statistics mathematics management or it with a minimum gpa of 3 00 from a reputable university have a minimum of 2 years experience in data analysis customer satisfaction customer survey skills fluent in english verbal written microsoft office minimal intermediate planning and organizing skills customer service oriented looking for character development timeline planning work with cross function team strong analytical and logical thinking good interpersonal communication able to work as a team or independent
Koinworks,Data Analyst,Koinworks,"Jakarta Selatan, Jakarta Raya",responsibilities providing data analytics for the lending portfolio to support decision making on the lending business providing data source for operational needs that can be consumed by various team credit underwriting risk collection business team supporting with data tracking of the system app website used in lending business to optimize the business process support business units in providing business intelligence dashboard through tableau power bi or other performance dashboard tool to manage any data acquisition data integration through etl elt process to support data ingestion and transformation requirements at least a bachelor s defree in statistics mathematics computer science computing economics or finance minimum 3 years experience as data analyst preferably in lending company multifinance bank or fintech experience and deep understanding of sql r python programming or other programming language experience with data visualization tools e g tableau power bi looker qliksense will be an advantage hardworking and able to work under tight dateline pressure in fast pace company environment
Adi Data Informatics,Data Engineer,Adi Data Informatics,Jakarta Raya,data engineer minimal s1 sederajat diutamakan jurusan teknologi informasi teknik informatika ilmu komputer manajemen informatika teknik komputer data science matematika statistika dan sejenisnya pengalaman minimal 3 tahun diutamakan berperan dalam analisis data preferensi dalam industri terkait memiliki pengalaman dan kemampuan terkait pyspark oozie airflow ibm data stage cloudera oracle dsb lebih diutamakan memiliki pengalaman dalam menggunakan analytics tools seperti excel tableau atau power bi lebih diutamakan memiliki pengalaman dan atau pengetahuan terkait pemrograman scripting dalam data processing seperti phyton r java dsb lebih diutamakan memiliki pengalaman dan atau pengetahuan terkait konsep data pipeline lebih diutamakan memiliki sertifikasi di bidang data engineer sql oracle cloudera level intermediate lebih diutamakan memiliki pengalaman pengembangan aplikasi secara agile memiliki pengalaman pengembangan data warehouse
University of Bunda Mulia,Data Science Lecturer (UBM Kampus Ancol),University of Bunda Mulia,"Jakarta Utara, Jakarta Raya",job descriptions provide the best learning experience to improve faculty competitive advantage be enthusiastic and passionate to carry out research and produce publication contribute actively on community services contribute to the development planning and implementation of a high quality curriculum participate in the administration of the department s programs of study and other activities as requested requirements candidate must possess at least doctoral degree master s degree in data science computer studies it business information system from reputable university candidate must possess at least 1 2 years of working experience in data science statistic artificial intelligence ai programming data analytics or data visualization is required in this position have nidn and maintains jja government academic credential rank from dikti is highly preferable or fresh graduate are welcome to apply exellent observation and listening skills good analytical thinking solid conceptual and excellent teaching skill open position for full time lecturer placement at ubm ancol
Best Agro International,Data Analyst Teknik,Best Agro International,"Jakarta Selatan, Jakarta Raya",uraian pekerjaan membuat dan menganalisa laporan laporan dept teknik meliputi laporan transportasi sipil dan infrastruktur mengidentifikasi faktor penyebab terjadinya masalah yang terjadi di lapangan serta menemukan solusi masalah kualifikasi s1 teknik agronomi teknologi informasi atau jurusan lain yang terkait berpengalaman sebagai kasie teknik agronomi expert dalam menggunakan ms excel bersedia penempatan di head office kuningan jakarta selatan hari kerja operasional senin sabtu regular office days
University of Bunda Mulia,Dosen Prodi Data Science (UBM Kampus Serpong),University of Bunda Mulia,"Tangerang, Banten",kualifikasi umum mampu bekerja secara multi tasking dan bekerja dalam tim team player menguasai microsoft office internet dan mampu berbahasa inggris min pasif kualifikasi khusus pendidikan s3 ataupun sedang menekuni pendidikan s3 memiliki pengalaman minimal 1 tahun sebagai dosen di perguruan tinggi memiliki pengalaman penelitian di bidang ai machine learning data warehousing basis data management memiliki kompetensi di bidang data science terkait kecerdasan buatan ai pemrograman data analisis dan data visual penempatan ubm alam sutera tangerang
,Machine Learning Engineer,,"Cilegon, Banten",about the role become a key member of the technology team at pt lotte innovate indonesia as a full time machine learning engineer in this role you will be responsible for developing and implementing advanced machine learning models and algorithms to drive innovation and solve complex business challenges the position is based in cilegon banten what you ll be doing design and develop machine learning models and algorithms to tackle a variety of business problems collaborate with cross functional teams to understand business requirements and translate them into technical solutions implement and optimise machine learning models ensuring they are accurate efficient and scalable analyse and interpret complex data sets to extract meaningful insights stay up to date with the latest advancements in machine learning and apply innovative techniques to drive continuous improvement document and communicate your work to technical and non technical stakeholders mentor and guide junior team members in machine learning best practices what we re looking for degree in computer science artificial intelligence machine learning or a related technical field 5 years of experience in developing and deploying machine learning models in a production environment proficiency in programming languages such as python tensorflow pytorch or keras strong understanding of machine learning algorithms data preprocessing model selection and evaluation experience in deploying and maintaining machine learning models in cloud environments excellent problem solving and analytical skills with a keen eye for detail strong communication skills to effectively collaborate with cross functional teams
Kinarya Alihdaya Mandiri,Data Scienties / Data Engineer / Data Analitics,Kinarya Alihdaya Mandiri,Jakarta Raya,requirement pendidikan minimal s1 teknik informatika sistem informasi teknik telekomunikasi manajemen informatika statistika matematika memahami pemrograman python shell script dan sql query database dan scipting unix linux paham terkait pandas memiliki pengalaman kerja minimal 1 tahun dibidang data analitics lebih disukai memahami aplikasi pentaho tableau dan hadoop dapat bekerja dalam team komunikatif dapat menangani tugas secara bersamaan multitasking dan fast learner menguasai ms office dengan baik bersedia berkerja overtime responsibilities membuat reporting daily weekly monthly mengerjakan hal yang berhungan dengan sql database pengolahan data menggunakan sql data entry excel bertanggungjawab dalam menggabunkan database pengolahan bigdata membuat dashboard melakukan analisa laporan membuat script sql
Tuntun Sekuritas Indonesia,Data Engineer,Tuntun Sekuritas Indonesia,"Jakarta Utara, Jakarta Raya",responsibilities extract data using web scraping and api integrations develop and maintain scalable data crawlers for diverse sources developing and maintaining data pipelines for efficient data extraction transformation and loading etl processes ensure data quality through validation processes document technical specifications and workflows collaborating with data analysts data architects and software engineers to understand data requirements and deliver relevant data sets participating in data governance and compliance efforts to meet regulatory requirements collaborating with cross functional teams to drive data driven decision making within the organization requirements more than 2 years of relevant experience or significant internship proficiency in programming languages like python java or sql basic knowledge of data modeling and database management familiarity with etl extract transform load processes understanding of data warehousing concepts must have experience of extracting data from html and web crawling strong problem solving and analytical abilities eagerness to learn and adapt to new data technologies and tools
Warna Warni Media,Artificial Intelligence,Warna Warni Media,"Surabaya, Jawa Timur",job description merancang dan membangun model berbasis computer vision untuk keperluan deteksi objek klasifikasi atau analisis citra lainnya mengembangkan pipeline digital image processing untuk preprocessing peningkatan kualitas gambar atau transformasi membuat dan mengelola api dengan flask termasuk integrasi dengan sistem berbasis windows iis jika diperlukan mengelola vector database milvus chromadb pinecone dll untuk menyimpan dan mencari embedding dari data visual atau teks melakukan deployment model secara local atau pada dedicated server baik linux maupun windows troubleshooting performa dan kompatibilitas lintas sistem berkolaborasi dengan tim engineering lain untuk mengintegrasikan solusi ai dalam ekosistem aplikasi perusahaan qualification lulusan s1 matematika ilmu komputer ilmu data atau bidang terkait pengalaman mendalam dengan computer vision yolo opencv dll dan digital image processing mahir dalam python dan library pendukung seperti numpy scikit learn pil dll pengalaman membangun dan mengelola rest api menggunakan flask pengalaman menggunakan fastapi untuk api yang lebih efisien dan asinkron pengalaman bekerja pada sistem operasi linux dan windows termasuk pemahaman iis untuk integrasi backend di windows pengalaman deployment model secara mandiri on premise familiar dengan deployment menggunakan docker atau virtual environment familiar dengan penggunaan vector database untuk pencarian semantik milvus pinecone chromadb weaviate dsb pengalaman bekerja minimum 1 tahun pada artificial intelligence freshgraduate welcome for apply
Lensa Makmur Sejahtera,Environmental Computational Modelling & Data Analyst,Lensa Makmur Sejahtera,"Semarang, Jawa Tengah",pt lensa makmur sejahtera perusahaan konsultan lingkungan dengan kantor di jakarta yogyakarta dan surabaya membuka kesempatan bagi talenta dengan kemampuan analisis komputasional pemrograman dan software teknis untuk bergabung dalam tim kami sebagai environmental computational modelling data analyst posisi ini berperan mendukung proses penyusunan dokumen dan kajian lingkungan melalui penggunaan berbagai software modelling data processing pemrograman ringan serta pengembangan workflow digital anda tidak diwajibkan memiliki latar belakang lingkungan yang terpenting adalah kemampuan logika ketelitian dan kecepatan belajar software baru jadilah partner jika anda senang belajar software baru dan bereksperimen dengan tools teknis cepat memahami alur kerja dan kebutuhan teknis project terbiasa dengan data coding dasar script atau automasi menyukai tantangan teknis komputasi dalam konteks isu lingkungan teliti analitis dan mampu bekerja dalam ritme project yang dinamis mampu berkomunikasi dan berkolaborasi dalam tim lintas disiplin tanggung jawab utama mengoperasikan software modelling dan komputasi yang dibutuhkan project mengolah data teknis numerik meteorologi dan geospasial menyusun script sederhana untuk automasi proses python js r mengembangkan workflow atau pipeline analisis berbasis it menyiapkan visualisasi data grafik peta dashboard layout gis melakukan pengecekan kualitas qc pada input output pemodelan mengintegrasikan data dalam sistem penyimpanan dan versioning internal mendukung kajian emisi inventarisasi grk dan proses teknis dokumen lingkungan berkolaborasi dengan tim compliance untuk kebutuhan teknis software data melakukan troubleshooting dasar pada software modelling atau tools analisis mempelajari software baru terkait modelling dan analisis sesuai kebutuhan project kualifikasi pendidikan s1 s2 dari teknik informatika sistem informasi ilmu komputer statistika data science teknik elektro atau bidang terkait menguasai minimal satu bahasa pemrograman python javascript r c atau lainnya mampu mempelajari software teknis atau modelling dengan cepat familiar dengan gis qgis arcgis gee merupakan nilai tambah memiliki dasar logika pemrograman analisis data dan troubleshooting disiplin komunikatif dan mampu bekerja dalam tim bersedia ditempatkan di semarang yogyakarta dan melakukan perjalanan dinas bila diperlukan benefits competitive salary flexible working place full employment annual bonus setelah memenuhi masa kerja 1 tahun kesempatan belajar langsung dari praktisi modelling data lingkungan kerja suportif agile dan kolaboratif
Accentuates,Data Analyst,Accentuates,Jakarta Raya,kualifikasi pendidikan minimal s1 jurusan matematika statistika ilmu komputer teknik industri atau jurusan yang relevan memiliki pengalaman di bidang analisa data atau posisi yang sama menjadi nilai plus paham terkait metode statistika dan teknik visualisasi data memiliki pengalaman mengoperasikan software analisa data seperti sql microsoft excel tableau r phyton memiliki kemampuan komunikasi yang baik untuk mempresentasikan temuan data dengan jelas dan efektif kepada non technical stakeholders memiliki kemampuan problem solving yang baik untuk mengidentifikasi masalah yang berkaitan dengan data detail dan teliti untuk memastikan keakuratan pada data yang dianalisa bersedia untuk penempatan di jakarta pusat
Matahari Department Store,Data Analyst,Matahari Department Store,"Karawaci, Banten",responsibilities collect manage and analyze large datasets related to store performance and operational efficiency support ongoing business and improvement projects by providing data insights reports and dashboards collaborate with cross functional teams operations merchandising and finance to ensure accuracy and consistency of business data assist in identifying trends issues and opportunities based on data analysis to support decision making develop and improve data tracking systems or templates to increase reporting efficiency requirements bachelor s degree in business statistics industrial engineering or a related field 1 2 years of experience in data analysis business operations or project support strong analytical and numerical skills with attention to detail proficient in microsoft excel and familiar with data visualization tools comfortable handling large datasets and transforming them into actionable insights
Saff & Co.,Data Analyst,Saff & Co.,"Jakarta Barat, Jakarta Raya",job description oversee the collection integration and management of data across multiple sales channels develop and maintain data pipelines to ensure data reliability and analytical readiness perform systematic data cleansing transformation and validation activities conduct comprehensive analyses related to sales performance market behavior and campaign effectiveness implement predictive modeling and advanced statistical methods to support business planning create impactful dashboards charts and reports for strategic decision making provide strategic recommendations derived from data driven insights coordinate with cross departmental teams to support analytical requirements ensure data governance quality control and consistency of analytical processes evaluate and enhance internal processes based on analytical findings qualifications bachelor s degree in informatics engineering computer science mathematics statistics or equivalent minimum 2 years of relevant experience as a data analyst previous experience in the beauty personal care industry is advantageous advanced proficiency in analytical programming tools python sql r familiarity with business intelligence platforms such as power bi or tableau exceptional attention to detail with strong problem solving skills ability to collaborate effectively within a cross functional environment strong presentation and communication abilities
CIMB Niaga,Junior Business Data Analyst,CIMB Niaga,"Tangerang, Banten",job description business partners and analytics driven specialist for identifying incremental business revenue and volume potential through quantitative methodology by developing actionable insights identification of business opportunities formulating various business insights through the use of analytics driven methodology and scoring method to identify business opportunities and improve business performances complete preparation of business insights framework from opportunities gathering data sizing business presentation and revenue volume impact analysis prepare strategic recommendations and solution to answer business problems proactively collaborate with product and sales team to apply customer insights generate smart leads to respective business units for cross sell up sell activities develop propensity modeling for generating smart leads with higher probability to improve sales productivity and customer s experience qualifications work experience bachelor s master degree in economics finance or statistics mathematics min gpa 3 00
Mane Indonesia,Data & Application Support Staff,Mane Indonesia,Cikarang,as a valued member of our it team you ll play a crucial role in ensuring the excellence of our quality systems daily you ll also have exciting opportunities to drive innovation and enhance our manufacturing processes through continuous improvement initiatives qualifications minimal bachelor degree in information system computer science statistics or related field have min 2 years of experience in involve project data analysis database management proficiency in sql server python and or r experience with data visualization tableau power bi etc familiar with statistical methods have good analytical thinking communication and collaboration fluent in english both oral and written
8 Elements,Data Analyst,8 Elements,"Jakarta Barat, Jakarta Raya",job description data analysis and interpretation utilize tools like google data studio bigquery and power bi to analyze marketing data and extract meaningful insights developing reporting dashboards create dynamic dashboards and reports that provide real time insights into sales marketing product performance collaborating with sales and marketing teams work closely with other teams to understand their data needs and provide insights that inform strategy and decision making data integration and management integrate data from various sources to provide a comprehensive view of products services campaigns company performance performance tracking monitor key performance indicators kpis to measure the effectiveness of campaigns activities and strategies monitoring and alerts set up a data driven system to alert positive and negative deviations for key parameters predictive analysis use data to predict trends and market movements aiding in proactive strategy development training and support provide training and support to team members in using data analysis tools and understanding reports be an independently working professional with a creative mind and drive for results and success minimum qualifications bachelor s or master s degree in computer science information technology data science software engineering or a related field strong foundation in mathematics statistics and data structures data analysis expert with experience in data programming languages and visualization software excel gsheet sql tableau metabase python etc advanced excel modeling and data visualization skills very strong analytical and problem solving mindset data warehouses snowflake bigquery amazon redshift
