Nama Program Studi (Inggris)
Arts
Ethnochoreology
Non-formal Education or Community Education
Pancasila and Civics Education
Indonesia Literature Education
Java Literature Education
History Education
Arts Education
Performing Arts Education
Visual Arts Education
Sociology Education
Dance Education
Information Technology Education
General and Character Education
Educational Research and Evaluation
Curriculum Development
Quality Assurance in Education
Educational Technology
Vocational Teacher Education
Technical Vocational Education
Agribusiness Vocational Education
Agricultural Engineering Vocational Education
Architectural Drafting Vocational Education
Automotive Technology Vocational Education
Building Construction Vocational Education
Cosmetology Vocational Education
Culinary Arts Vocational Education
Electrical Engineering Vocational Education
Electronics Engineering Vocational Education
Family Welfare Vocational Education
Fashion Design Vocational Education
Mechanical Engineering Vocational Education
Mechatronics Vocational Education
Sustainability Engineering
Bioenergy Engineering and Chemurgy
Biomedical Engineering
Biosystem Engineering
Agricultural and Biosystem Engineering
Agricultural Engineering
Aerospace Engineering
Aeronautics Engineering
Electrical Engineering
Renewable Energy Engineering
Geothermal Energy Engineering
Electrical Power Engineering
Energy System Engineering
Physics Engineering
Geodetic Engineering
Geophysical Engineering
Geological Engineering
Geomatics Engineering
Remote Sensing Engineering
Industrial Engineering
Engineering Management
Logistic Engineering
Industrial Engineering and Management
Agro-industrial Engineering
Instrumentation and Control Engineering
Instrumentation and Automation Engineering
Ocean Engineering
Naval Architecture Engineering
Marine Engineering
Marine Transport Engineering
Safety Engineering
Fire Safety Engineering
Chemical Engineering
Bioprocess Engineering
Computer Engineering
Cosmetics Engineering
Environmental Engineering
Materials Engineering
Metallurgical Engineering
Metallurgical and Materials Engineering
Mechanical Engineering
Manufacturing Engineering
Mechatronics Engineering
Nuclear Engineering
Petroleum Engineering
Oil and Gas Engineering
Mining Engineering
Hospital Engineering
Civil Engineering
Infrastructure and Environmental Engineering
Transportation Engineering
Water Resources Engineering
Railway Engineering
Telecommunications Engineering
Bioengineering
Textile Engineering
Environmental Science
Environmental Management
Natural Resources Management
Natural and Environmental Resources Management
Watershed Management
Bio Resources Management
Land Resources Management
Upland Resources Management
Sustainability Science
Environmental Studies
Environmental and Urban Studies
Forestry
Forestry Management
Forestry Engineering
Silviculture
Tropical Silviculture
Forestry Product Technology
Biomedical Science
Medical Science
Immunology
Forensic Medicine and Medicolegal
Family Medicine
Occupational Medicine
Clinical Medicine
Sports Medicine
Tropical Medicine
Vaccinology and Immunotherapeutics
Medicine
Dental Science
Dental Medicine
Clinical Dentistry
Community Dentistry
Medical Entomology or Veterinary Entomology
Veterinary Science
Veterinary Biomedical Science
Veterinary Medicine
Veterinary Public Health
Pharmacy
Clinical Pharmacy
Clinical and Community Pharmacy
Industrial Pharmacy
Pharmaceutical Science
Herbal Medicine
Nutrition
Public Nutrition
Nutrition Science
Epidemiology
Environmental Health
Public Health
Midwifery
Nursing
Health Administration
Hospital Administration
Physiotherapy
Reproductive Health
Occupational Health and Safety
Health information Management
Optometry
Skin Aging and Aesthetic Medicine
Health Promotion
Occupational Therapy
Clinical or Medical Laboratory Science
Information Science
Library and Information Science
Law
Agrarian and Land Law
Business Law
Intellectual Property Rights Law
International Law
Health Law
Litigation Law
Public Law
Syariah Law
Law and Development
Notary Law
Military Science
Military Engineering
Public Administration
Education Policy
Public Policy
Social Welfare
Sports Science
Exercise Physiology
Sports Management
Sports Engineering
Tourism
Transportation
Bioethics
Bioinformatics
Bioentrepreneurship
Biomanagement
Biotechnology
Industrial Biotechnology
Marine Biotechnology
Medical Biotechnology
Agricultural Biotechnology
Geography
Environmental Geography
Remote Sensing
Geographic Information Science
Forensic Science
Computational Science
Medical Informatics or Health Informatics
System and Technology Innovation
Chemo-informatics
Counseling and Psychoteraphy
Tropical Biodiversity Conservation
Biology Conservation
Wild life Conservation
Wild life and Forestry Conservation
Forestry Conservation
Natural Resources Conservation
Disaster Management
Disaster Mitigation
Land Disaster Mitigation
Digital Education
Human Settlement
Educational Psychology
Food Engineering
System Engineering
Integrated Water Management Engineering
Coffee Economics
Data Science
Spatial Data Science
Coffee Science
Humanistic Studies (Liberal Arts)
Plant Tissue Culture Profession Education
Plant Breeders Profession Education
Agricultural Extension Profession Education
Architect Profession Education
Accountant Profession Education
Counselor Profession Education
Teacher Profession Education (TPE)
Engineer Profession Education
Pharmacist Profession Education
Midwife Profession Education
Dietician Profession Education
Medical Doctor Profession Education
Dentist Profession Education
Veterinarian Profession Education
Physiotherapist Profession Education
Nurse Profession Education
Traditional Indonesian Medicine Profession Education
Traditional Chinese Medicine Profession Education
Advocate Profession Education
Social Worker Profession Education
Psychology
Medical Acupuncture
Andrology
Anesthesiology and Intensive Therapy
Surgery
Pediatric Surgery
Oral and Maxillofacial Surgery
Plastic Reconstructive and Aesthetic Surgery
Neurosurgery
"Thoracic, Cardiac, and Vascular Surgery"
Dermatology Venereology and Aesthetic
Clinical Pharmacology
Clinical Nutrition
Cardiology and Vascular Medicine
Physical Medicine and Rehabilitation
Forensic Medicine and Medicolegal Studies
Pediatric Dentistry
Primary Care Family Medicine
Nuclear Medicine and Theragnostic Molecular
Occupational Medicine
Sports Medicine
Aerospace Medicine
Emergency Medicine
Maritime Medicine
Pediatric Nursing
Psychiatric Nursing
Community Nursing
Maternity Nursing
Medical and Surgical Nursing
Cardiovascular Nursing
Oncology Nursing
Pediatrics
Otorhinolaryngology - Head and Neck Surgery
Endodontics
Clinical Microbiology
Neurology
Obstetrics and Gynecology
Forensic Odontology
Radiation Oncology
Ophthalmology
Orthodontics
Orthopaedic and Traumatology
Clinical Parasitology
Anatomical Pathology
Clinical Pathology
Oral Pathology and Maxillofacial
Internal Medicine
Oral Medicine
Periodontics
Prosthodontics
Psychiatry
Pulmonology and Respiratory Medicine
Dental Radiology
Clinical Radiology
Urology
Children Services Social Worker
Disabilities Services Social Worker
Disaster Services Social Worker
Poverty Services Social Worker
Medical Services Social Worker
Narcotic-Abuse-Services Social Worker
