Rumpun Ilmu,Nama Program Studi (Indonesia),Nama Program Studi (Inggris)
Sosial,Kajian Budaya dan Media,Cultural and Media Studies
Sosial,Kajian Budaya dan Tradisi Lisan,Cultural Studies and Oral Traditions
Sosial,Kajian Bugis,Bugis Studies
Sosial,Kajian Indonesia,Indonesian Studies
Sosial,Kajian Inggris,English Studies
Sosial,Kajian Jawa,Java Studies
Sosial,Kajian Jerman,German Studies
Sosial,Kajian Jepang,Japan Studies
Sosial,Kajian Korea,Korean Studies
Sosial,Kajian Minangkabau,Minangkabau Studies
Sosial,Kajian Perancis,France Studies
Sosial,Kajian Perempuan,Woman Studies
Sosial,Kajian Perkotaan,Urban Studies
Sosial,Kajian Sunda,Sundanese Studies
Sosial,Kajian Slavia,Slavic Studies
Sosial,Kajian Tiongkok atau Sinologi,China Studies
Sosial,Kajian Timur Tengah,Middle East Studies
Sosial,Kajian Timur Tengah dan Islam,Islamic and Middle East Studies
Sosial,Kajian Wilayah Eropa,European Studies
Sosial,Kajian Gender,Gender Studies
Sosial,Kependudukan,Demography
Sosial,Kriminologi,Criminology
Sosial,Pembangunan Sosial,Social Development
Sosial,Pembangunan Wilayah,Regional Development
Sosial,Sosiologi,Sociology
Sosial,Sosiologi Perdesaan,Rural Sociology
Sosial,Sosiologi Agama,Religion Sociology
Sosial,Studi Kebijakan,Policy Studies
Sosial,Studi Pembangunan,Development Studies
Sosial,Studi Pertahanan,Defense Studies
Sosial,Sains atau Ilmu Kepolisian,Police Science
Sosial,Studi atau Ilmu Pemerintahan,Government Studies
Ekonomi,Ekonomi,Economics
Ekonomi,Ekonomi dan Keuangan Islam,Islamic Economics and Finance
Ekonomi,Ekonomi Kependudukan dan Ketenagakerjaan,Labor and Population Economics
Ekonomi,Ekonomi Keuangan dan Perbankan,"Economics, Finance and Banking"
Ekonomi,Ekonomi Koperasi,Co-operative Economics
Ekonomi,Ekonomi Pembangunan,Development Economics
Ekonomi,Ekonomi Sumber Daya,Resource Economics
Ekonomi,Ekonomi Sumber Kelautan,Marine Resource Economics
Ekonomi,Ekonomi Syariah,Islamic Economics
Ekonomi,Ekonomi Terapan,Applied Economics
Ekonomi,Keuangan Islam,Islamic Finance
Ekonomi,Keuangan Mikro,Microfinance
Ekonomi,Keuangan Publik,Public Finance
Pertahanan,Damai dan Resolusi Konflik,Peace and Conflict Resolution
Pertahanan,Diplomasi Pertahanan,Defense Diplomacy
Pertahanan,Ekonomi Pertahanan,Defense Economics
Pertahanan,Keamanan Energi,Energy Security
Pertahanan,Ketahanan Maritim,Maritime Defense
Pertahanan,Manajemen Bencana untuk Keamanan Nasional,Disaster Management for National Security
Pertahanan,Manajemen Pertahanan,Defense Management
Pertahanan,Peperangan Asimetrik,Asymmetric Warfare
Pertahanan,Strategi dan Kampanye Militer,Military Strategy and Campaign
Pertahanan,Strategi Pertahanan Darat,Land Defense Strategy
Pertahanan,Strategi Pertahanan Laut,Maritime Defense Strategy
Pertahanan,Strategi Pertahanan Udara,Air Defense Strategy
Pertahanan,Strategi Perang Semesta,Total Defense Strategy
Pertahanan,Studi Keamanan dan Terorisme,Terrorism and Security Studies
Psikologi,Psikologi,Psychology
Psikologi,Psikologi Klinis,Clinical Psychology
Psikologi,Psikologi Terapan,Applied Psychology
Sains Alam (Kimia),Kimia,Chemistry
Sains Alam (Kimia),Biokimia,Biochemistry
Sains Alam (Kimia),Ilmu atau Sains Bahan/Material,Material Science
Sains Alam (Kimia),Kimia Terapan,Applied Chemistry
Sains Alam (Kebumian),Ilmu atau Sains Kebumian,Earth Science
Sains Alam (Kebumian),Geofisika,Geophysics
Sains Alam (Kebumian),Geologi,Geology
Sains Alam (Kebumian),Hidrogeologi,Hydrogeology
Sains Alam (Kebumian),Hidrologi,Hydrology
Sains Alam (Kebumian),Klimatologi,Climatology
Sains Alam (Kebumian),Meteorologi,Meteorology
Sains Alam (Kebumian),Oseanografi,Oceanography
Sains Alam (Kelautan),Ilmu atau Sains Kelautan,Marine Science
Sains Alam (Biologi),Biologi,Biology
Sains Alam (Biologi),Biologi Perkembangan Hewan,Animal Developmental Biology
Sains Alam (Biologi),Biologi Reproduksi,Reproductive Biology
Sains Alam (Biologi),Biologi Terapan,Applied Biology
Sains Alam (Biologi),Biologi Tumbuhan,Plant Biology
Sains Alam (Biologi),Entomologi,Entomology
Sains Alam (Biologi),Entomologi Permukiman,Urban Entomology
Sains Alam (Biologi),Mikrobiologi,Microbiology
Sains Alam (Biologi),Mikrobiologi Medis,Medical Microbiology
Sains Alam (Biologi),Primatologi,Primatology
Sains Alam (Biofisika),Biofisika,Biophysics
Sains Alam (Fisika),Fisika,Physics
Sains Alam (Fisika),Fisika Medis,Medical Physics
Sains Alam (Astronomi),Astronomi,Astronomy
Sains Alam (Astronomi),Ilmu atau Sains Atmosfer dan Keplanetan,Atmospheric and Planetary Science
Formal (Komputer),Ilmu Komputer atau Informatika,Computer Science or Informatics
Formal (Komputer),Kecerdasan Buatan,Artificial Intelligence
Formal (Komputer),Rekayasa Perangkat Lunak,Software Engineering
Formal (Komputer),Rekayasa Sistem Komputer,Computer System Engineering
Formal (Komputer),Sistem Informasi,Information System
Formal (Komputer),Sistem dan Teknologi Informasi,Information System and Technology
Formal (Komputer),Teknologi Informasi,Information Technology
Formal (Logika),Logika,Logic
Formal (Matematika),Matematika,Mathematics
Formal (Matematika),Matematika Terapan,Applied Mathematics
Formal (Matematika),Ilmu atau Sains Aktuaria,Actuarial Science
Formal (Matematika),Statistika,Statistics
Formal (Matematika),Statistika Terapan,Applied Statistics
Pertanian,Ilmu atau Sains Pertanian,Agricultural Science
Pertanian,Agribisnis,Agribusiness
Pertanian,Agroekoteknologi atau Agroteknologi,Agroecotechnology or Agrotechnology
Pertanian,Agroforestri Tropis,Tropical Agroforestry
Pertanian,Agronomi,Agronomy
Pertanian,Ekonomi Pertanian,Agricultural Economics
Pertanian,Entomologi Pertanian,Agricultural Entomology
Pertanian,Hortikultura,Horticulture
Pertanian,Ilmu atau Sains Benih,Seed Science
Pertanian,Ilmu atau Sains Tanah,Soil Science
Pertanian,Ilmu atau Sains Tanaman,Plant Science
Pertanian,Mikrobiologi Pertanian,Agricultural Microbiology
Pertanian,Patologi Tumbuhan atau Fitopatologi,Plant Pathology or Phytopathology
Pertanian,Pemuliaan Tanaman,Plant Breeding
Pertanian,Pengendalian Hama Terpadu,Integrated Pest Management
Pertanian,Penyuluhan Pertanian,Agricultural Extension
Pertanian,Pertanian Lahan Kering,Dryland Agriculture
Pertanian,Pertanian Tropika Basah,Wet-Tropical (Rainforests) Agriculture
Pertanian,Proteksi Tanaman,Plant Protection
Pertanian,Sosial Ekonomi Pertanian,Agricultural Socioeconomics
Pertanian,Pertanian Berkelanjutan,Sustainable Agriculture
Teknologi Pertanian,Ilmu atau Sains Pangan,Food Science
Teknologi Pertanian,Teknologi Hasil Perkebunan,Plantation Product Technology
Teknologi Pertanian,Teknologi Hasil Pertanian/Teknologi Pangan,Agricultural Product Technology
Teknologi Pertanian,Teknologi Industri Pertanian,Agricultural Industrial Technology
Teknologi Pertanian,Teknologi Pasca Panen,Postharvest Technology
Teknologi Pertanian,Teknologi Pangan dan Hasil Pertanian,Food and Agricultural Product Technology
Peternakan,Peternakan,Animal Husbandry
Peternakan,Biosains Hewan atau Sains Hewan,Animal Bioscience or Animal Science
Peternakan,Fisiologi Hewan,Animal Physiology
Peternakan,Nutrisi Ternak,Animal Nutrition
Peternakan,Nutrisi Ternak dan Sains Pakan,Animal Nutrition and Feed Science
Peternakan,Nutrisi dan Teknologi Pakan Ternak,Animal Nutrition and Feed Technology
Peternakan,Sosial Ekonomi Peternakan,Animal Husbandry Socioeconomics
Peternakan,Teknologi Hasil Peternakan,Livestock Product Technology
Perikanan,Ilmu atau Sains Perikanan,Fisheries Science
Perikanan,Akuakultur,Aquaculture
Perikanan,Manajemen atau Pengelolaan Sumber Daya Perairan,Water or Aquatic Resources Management
Perikanan,Perikanan Tangkap,Capture Fisheries
Perikanan,Sosial Ekonomi Perikanan,Fisheries Socioeconomics
Perikanan,Sumber Daya Akuatik,Aquatic Resources
Perikanan,Teknologi Hasil Perairan,Aquatic Product Technology
Perikanan,Teknologi Hasil Perikanan,Fish Product Technology
Perikanan,Teknologi Penangkapan Ikan,Fish Capture technology
Arsitektur/Desain,Arsitektur,Architecture
Arsitektur/Desain,Arsitektur Lanskap,Landscape Architecture
Arsitektur/Desain,Perencanaan Wilayah,Regional Planning
Arsitektur/Desain,Perencanaan Wilayah dan Perdesaan,Regional and Rural Planning
Arsitektur/Desain,Perencanaan Wilayah dan Kota,Regional and Urban Planning
Arsitektur/Desain,Perencanaan Kota,Urban Planning
Arsitektur/Desain,Perencanaan Kepariwisataan,Tourism Planning
Arsitektur/Desain,Rancang Kota,Urban Design
Arsitektur/Desain,Desain,Design
Arsitektur/Desain,Desain Interior,Interior design
Arsitektur/Desain,Desain Komunikasi Visual,Visual Communication Design
Arsitektur/Desain,Desain Mode,Fashion Design
Arsitektur/Desain,Desain Produk,Product Design
Arsitektur/Desain,Desain Produk industri,Industrial Product Design
Arsitektur/Desain,Ergonomi,Ergonomics
Bisnis,Bisnis Digital,Digital Bussiness
Bisnis,Ilmu atau Sains Akuntansi,Accounting Science
Bisnis,Akuntansi,Accounting
Bisnis,Ilmu atau Sains Manajemen,Management Science
Bisnis,Manajemen,Management
Bisnis,Manajemen Bisnis Internasional,International Business Management
Bisnis,Manajemen Inovasi,Innovation Management
Bisnis,Manajemen Organisasi,Organizational Management
Bisnis,Manajemen Pajak atau Administrasi Pajak,Tax Administration or Tax Management
Bisnis,Manajemen Pendidikan Tinggi,Higher Education Management
Bisnis,Manajemen Sumber Daya Manusia,Human Resource Management
Bisnis,Manajemen Teknologi,Technology Management
Bisnis,Sistem Informasi Manajemen,Management Information System
Bisnis,Logistik,Logistics
Bisnis,Manajemen Logistik,Logistics Management
Bisnis,Administrasi Bisnis,Business Administration
Bisnis,Bisnis,Business
Bisnis,Bisnis Jasa,Services Industry
Bisnis,Bisnis Maritim,Maritime Business
Bisnis,Bisnis Musik,Music Business
Bisnis,Ilmu atau Sains Keluarga dan Konsumen,Family and Consumer Science
Bisnis,Kewirausahaan,Entrepreneurship
Bisnis,Manajemen dan Kewirausahaan,Management and Entrepreneurship
Bisnis,Manajemen Properti dan Penilaian,Property and Valuation Management
Bisnis,Perdagangan Internasional,International Trade
Bisnis,Usaha Koperasi,Co-operative Business
Komunikasi,Ilmu atau Sains Komunikasi,Communication Science
Komunikasi,Hubungan Masyarakat,Public Relations
Komunikasi,Jurnalistik,Journalism
Komunikasi,Kajian Film Televisi dan Media,"Film, Television, and Media Studies"
Komunikasi,Komunikasi Massa,Mass Communication
Komunikasi,Komunikasi Pembangunan,Development Communication
Komunikasi,Manajemen Komunikasi,Communication Management
Komunikasi,Media dan Komunikasi,Media and Communication
Komunikasi,Periklanan,Advertising
Pendidikan,Administrasi Pendidikan,Education Administration
Pendidikan,Bimbingan dan Konseling,Guidance and Counseling
Pendidikan,Evaluasi Pendidikan,Education Evaluation
Pendidikan,Pendidikan,Education
Pendidikan,Manajemen Pendidikan,Education Management
Pendidikan,Pedagogi,Pedagogy
Pendidikan,Pendidikan Administrasi Perkantoran,Office Administration Education
Pendidikan,Pendidikan Akuntansi,Accounting Education
Pendidikan,Pendidikan Anak Usia Dini,Early Childhood Education
Pendidikan,Pendidikan Antropologi,Anthropology Education
Pendidikan,Pendidikan Bahasa Arab,Arabic Language Education
Pendidikan,Pendidikan Bahasa Bali,Bali Language Education
Pendidikan,Pendidikan Bahasa Bugis,Buginese Language Education
Pendidikan,Pendidikan Bahasa Lampung,Lampung Language Education
Pendidikan,Pendidikan Bahasa dan Kebudayaan Lampung,Lampung Language and Cultural Education
Pendidikan,Pendidikan Bahasa Indonesia,Indonesia Language Education
Pendidikan,Pendidikan Bahasa Inggris,English Language Education
Pendidikan,Pendidikan Bahasa Jawa,Java Language Education
Pendidikan,Pendidikan Bahasa Jepang,Japan Language Education
Pendidikan,Pendidikan Bahasa Jerman,German Language Education
Pendidikan,Pendidikan Bahasa Korea,Korea Language Education
Pendidikan,Pendidikan Bahasa Mandarin,China Language Education
Pendidikan,Pendidikan Bahasa Makassar,Makassarese Language Education
Pendidikan,Pendidikan Bahasa Melayu,Malay Language Education
Pendidikan,Pendidikan Bahasa Perancis,French Language Education
Pendidikan,Pendidikan Bahasa Sunda,Sundanese Language Education
Pendidikan,Pendidikan Bahasa dan Sastra Indonesia,Indonesian Language and Literature Education
Pendidikan,Pendidikan Bahasa dan Sastra Jawa,Javanese Language and Literature Education
Pendidikan,Pendidikan Bahasa dan Kebudayaan Sunda,Sundanese Language and Cultural Education
Pendidikan,Pendidikan Budaya Sunda,Sundanese Cultural Education
Pendidikan,Pendidikan Biologi,Biology Education
Pendidikan,Pendidikan Bisnis,Business Education
Pendidikan,Pendidikan Dasar,Elementary Education
Pendidikan,Pendidikan Ekonomi,Economics Education
Pendidikan,Pendidikan Fisika,Physics Education
Pendidikan,Pendidikan Geografi,Geography Education
Pendidikan,Pendidikan Guru Pendidikan Anak Usia Dini,Early Childhood Teacher Education
Pendidikan,Pendidikan Guru Sekolah Dasar,Elementary Teacher Education
Pendidikan,Pendidikan Ilmu Pengetahuan Alam,Natural Science Education
Pendidikan,Pendidikan Ilmu Pengetahuan Sosial,Social Science Education
Pendidikan,Pendidikan Jasmani,Physical Education
Pendidikan,Pendidikan Jasmani Sekolah Dasar,Elementary Physical Education
Pendidikan,Pendidikan Keagamaan Buddha,Buddhism Religion Education
Pendidikan,Pendidikan Keagamaan Hindu,Hinduism Religion Education
Pendidikan,Pendidikan Agama Islam,Islam Religion Education
Pendidikan,Pendidikan Keagamaan Katolik,Catholicism Religion Education
Pendidikan,Pendidikan Keagamaan Kristen,Christianity Religion Education
Pendidikan,Pendidikan Kepelatihan Olahraga,Sports Coaching Education
Pendidikan,Pendidikan Kepercayaan Terhadap Tuhan YME,Education of Faith in God
Pendidikan,Pendidikan Khusus,Special Education
Pendidikan,Pendidikan Kimia,Chemistry Education
Pendidikan,Pengajaran Kimia,Chemistry Teaching
Pendidikan,Pendidikan Komputer atau Informatika,Computer or Informatics Education
Pendidikan,Pendidikan Koperasi,Co-operative Education
Pendidikan,Pendidikan Kriya,Craft Education
Pendidikan,Pendidikan Lingkungan,Environmental Education
Pendidikan,Pendidikan Matematika,Mathematics Education
Pendidikan,Pengajaran Matematika,Mathematics Teaching
Pendidikan,Pendidikan Musik,Music Education
Pendidikan,Pendidikan Nonformal/Pendidikan Masyarakat,Non-formal Education or Community Education
Pendidikan,Pendidikan Pancasila dan Kewarganegaraan,Pancasila and Civics Education
Pendidikan,Pendidikan Sastra Indonesia,Indonesia Literature Education
Pendidikan,Pendidikan Sastra Jawa,Java Literature Education
Pendidikan,Pendidikan Sejarah,History Education
Pendidikan,Pendidikan Seni,Arts Education
Pendidikan,Pendidikan Seni Pertunjukan,Performing Arts Education
Pendidikan,Pendidikan Seni Rupa,Visual Arts Education
Pendidikan,Pendidikan Sosiologi,Sociology Education
Pendidikan,Pendidikan Tari,Dance Education
Pendidikan,Pendidikan Teknologi Informasi,Information Technology Education
Pendidikan,Pendidikan Umum dan Karakter,General and Character Education
Pendidikan,Penelitian dan Evaluasi Pendidikan,Educational Research and Evaluation
Pendidikan,Pengembangan Kurikulum,Curriculum Development
Pendidikan,Penjaminan Mutu Pendidikan,Quality Assurance in Education
Pendidikan,Teknologi Pendidikan,Educational Technology
Pendidikan,Pendidikan Guru Vokasi (Kejuruan),Vocational Teacher Education
Pendidikan,Pendidikan Vokasi Keteknikan,Technical Vocational Education
Pendidikan,Pendidikan Vokasional Agribisnis,Agribusiness Vocational Education
Pendidikan,Pendidikan Vokasional Teknik atau Rekayasa Pertanian,Agricultural Engineering Vocational Education
Pendidikan,Pendidikan Vokasional Gambar Arsitektur,Architectural Drafting Vocational Education
Pendidikan,Pendidikan Vokasional Teknologi Otomotif,Automotive Technology Vocational Education
Pendidikan,Pendidikan Vokasional Konstruksi Bangunan,Building Construction Vocational Education
Pendidikan,Pendidikan Vokasional Tata Rias,Cosmetology Vocational Education
Pendidikan,Pendidikan Vokasional Seni Kuliner,Culinary Arts Vocational Education
Pendidikan,Pendidikan Vokasional Rekayasa Elektro,Electrical Engineering Vocational Education
Pendidikan,Pendidikan Vokasional Rekayasa Elektronika,Electronics Engineering Vocational Education
Pendidikan,Pendidikan Vokasional Kesejahteraan Keluarga,Family Welfare Vocational Education
Pendidikan,Pendidikan Vokasional Desain Fashion,Fashion Design Vocational Education
Pendidikan,Pendidikan Vokasional Rekayasa Mesin,Mechanical Engineering Vocational Education
Pendidikan,Pendidikan Vokasional Mekatronika,Mechatronics Vocational Education
Teknik (Rekayasa),Rekayasa Berkelanjutan,Sustainability Engineering
Teknik (Rekayasa),Rekayasa Bioenergi dan Kemurgi,Bioenergy Engineering and Chemurgy
Teknik (Rekayasa),Rekayasa Biomedis,Biomedical Engineering
Teknik (Rekayasa),Rekayasa Biosistem,Biosystem Engineering
Teknik (Rekayasa),Rekayasa Pertanian dan Biosistem,Agricultural and Biosystem Engineering
Teknik (Rekayasa),Rekayasa Pertanian,Agricultural Engineering
Teknik (Rekayasa),Rekayasa Dirgantara,Aerospace Engineering
Teknik (Rekayasa),Rekayasa Aeronautika,Aeronautics Engineering
Teknik (Rekayasa),Rekayasa Elektro,Electrical Engineering
Teknik (Rekayasa),Rekayasa Energi Terbarukan,Renewable Energy Engineering
Teknik (Rekayasa),Rekayasa Energi Panas Bumi,Geothermal Energy Engineering
Teknik (Rekayasa),Rekayasa Tenaga Listrik,Electrical Power Engineering
Teknik (Rekayasa),Rekayasa Sistem Energi,Energy System Engineering
Teknik (Rekayasa),Rekayasa Fisika,Physics Engineering
Teknik (Rekayasa),Rekayasa Geodesi,Geodetic Engineering
Teknik (Rekayasa),Rekayasa Geofisika,Geophysical Engineering
Teknik (Rekayasa),Rekayasa Geologi,Geological Engineering
Teknik (Rekayasa),Rekayasa Geomatika,Geomatics Engineering
Teknik (Rekayasa),Rekayasa Penginderaan Jauh,Remote Sensing Engineering
Teknik (Rekayasa),Rekayasa Industri,Industrial Engineering
Teknik (Rekayasa),Manajemen Rekayasa,Engineering Management
Teknik (Rekayasa),Rekayasa Logistik,Logistic Engineering
Teknik (Rekayasa),Rekayasa Industri dan Manajemen,Industrial Engineering and Management
Teknik (Rekayasa),Rekayasa Industri Pertanian,Agro-industrial Engineering
Teknik (Rekayasa),Rekayasa Instrumentasi dan Kontrol,Instrumentation and Control Engineering
Teknik (Rekayasa),Rekayasa Instrumentasi dan Automasi,Instrumentation and Automation Engineering
Teknik (Rekayasa),Rekayasa Kelautan,Ocean Engineering
Teknik (Rekayasa),Rekayasa Perkapalan,Naval Architecture Engineering
Teknik (Rekayasa),Rekayasa Sistem Perkapalan,Marine Engineering
Teknik (Rekayasa),Rekayasa Transportasi Laut,Marine Transport Engineering
Teknik (Rekayasa),Rekayasa Keselamatan,Safety Engineering
Teknik (Rekayasa),Rekayasa Keselamatan Kebakaran,Fire Safety Engineering
Teknik (Rekayasa),Rekayasa Kimia,Chemical Engineering
Teknik (Rekayasa),Rekayasa Bioproses,Bioprocess Engineering
Teknik (Rekayasa),Rekayasa Komputer,Computer Engineering
Teknik (Rekayasa),Rekayasa Kosmetik,Cosmetics Engineering
Teknik (Rekayasa),Rekayasa Lingkungan,Environmental Engineering
Teknik (Rekayasa),Rekayasa Material,Materials Engineering
Teknik (Rekayasa),Rekayasa Metalurgi,Metallurgical Engineering
Teknik (Rekayasa),Rekayasa Material dan Metalurgi,Metallurgical and Materials Engineering
Teknik (Rekayasa),Rekayasa Mesin,Mechanical Engineering
Teknik (Rekayasa),Rekayasa Manufaktur,Manufacturing Engineering
Teknik (Rekayasa),Rekayasa Mekatronika,Mechatronics Engineering
Teknik (Rekayasa),Rekayasa Nuklir,Nuclear Engineering
Teknik (Rekayasa),Rekayasa Perminyakan,Petroleum Engineering
Teknik (Rekayasa),Rekayasa Minyak dan Gas,Oil and Gas Engineering
Teknik (Rekayasa),Rekayasa Pertambangan,Mining Engineering
Teknik (Rekayasa),Rekayasa Perumahsakitan,Hospital Engineering
Teknik (Rekayasa),Rekayasa Sipil,Civil Engineering
Teknik (Rekayasa),Rekayasa Infrastruktur dan Lingkungan,Infrastructure and Environmental Engineering
Teknik (Rekayasa),Rekayasa Transportasi,Transportation Engineering
Teknik (Rekayasa),Rekayasa Sumber Daya Air (Pengairan),Water Resources Engineering
Teknik (Rekayasa),Rekayasa Perkeretaapian,Railway Engineering
Teknik (Rekayasa),Rekayasa Telekomunikasi,Telecommunications Engineering
Teknik (Rekayasa),Rekayasa Hayati,Bioengineering
Teknik (Rekayasa),Rekayasa Tekstil,Textile Engineering
Lingkungan,Ilmu atau Sains Lingkungan,Environmental Science
Lingkungan,Manajemen atau Pengelolaan Lingkungan,Environmental Management
Lingkungan,Manajemen atau Pengelolaan Sumber Daya Alam,Natural Resources Management
Lingkungan,Pengelolaan Sumberdaya Alam dan Lingkungan,Natural and Environmental Resources Management
Lingkungan,Manajemen atau Pengelolaan Daerah Aliran Sungai,Watershed Management
Lingkungan,Manajemen atau Pengelolaan Sumber Daya Hayati,Bio Resources Management
Lingkungan,Manajemen atau Pengelolaan Sumber Daya Lahan,Land Resources Management
Lingkungan,Manajemen atau Pengelolaan Sumber Daya Lahan kering,Upland Resources Management
Lingkungan,Sains Keberlanjutan,Sustainability Science
Lingkungan,Studi Lingkungan,Environmental Studies
Lingkungan,Studi Lingkungan dan Perkotaan,Environmental and Urban Studies
Kehutanan,Kehutanan,Forestry
